Cov1,Cov2,Cov3,Cov4,Cov5,Cov6,Cov7,Cov8,Cov9,Cov10
-1.5,-1.5,-0.324590490786207,0.0346425604265353,0.49431696004371,-0.445075847998923,1.97266217805042,-0.927918105183436,0.536484622830416,0.217300484699225
-1.45,-1.5,0.193776505099578,-1.65075380203569,-0.234986202336062,0.333242912661102,-1.13177744413538,-0.0190478687499537,0.14587528671011,1.42897928976697
-1.4,-1.5,-0.372882312793531,-0.27617052974434,-1.33669205863487,-2.12117473231404,1.60243108632245,-0.708811657185594,1.56980115755143,0.35210121258582
-1.35,-1.5,1.68281032247602,-0.571136691644563,-1.17523805305611,-1.07855404055346,-0.42332873291402,0.445533156229876,0.669636575236214,1.00189359946691
-1.3,-1.5,1.21938462328352,0.792365147317683,0.709096991853582,-1.2828952340545,-0.508923982356705,-0.0859544572299863,0.736434387162704,1.32417698489053
-1.25,-1.5,1.07495846262184,0.909418801928959,0.372660772734373,-0.905419203159928,0.26693257972505,-1.45468054932041,-0.583640483106977,-0.732033324499718
-1.2,-1.5,-1.47053521040402,-0.459711814935943,0.0287976055793319,-0.485945395789447,-1.10155082846792,-1.4201752416639,0.227411519617717,1.51329434106321
-1.15,-1.5,0.687115507258875,0.454757812550799,-0.857838943991965,0.234348180723671,1.35245591690957,2.04679944538028,-0.928180761667355,-1.27539441605073
-1.1,-1.5,-0.354564279331439,-0.777783818590925,0.336068624924358,0.0731137105554578,-0.630842332969178,0.261657120637033,0.440911838415104,2.15710719418261
-1.05,-1.5,-0.543687476224882,0.165558734640827,-0.80596754563651,-1.05867040087503,0.889517718770562,-0.774645279167257,0.862965709709528,1.72552104040839
-1,-1.5,-0.729001575631746,-2.79867715878533,0.140688047716503,-0.163821862391508,0.900292129055155,1.75558873165662,-0.275375142387635,1.59575302718637
-0.95,-1.5,-0.468443160265584,-0.528986982190422,-0.359354124286822,-0.32549248905832,0.286569685704937,0.250818105497956,0.247852201955797,0.188627962212264
-0.9,-1.5,1.77875497528501,-0.496717921205804,0.354659601503738,0.906433355150372,1.31262048559492,-0.693203735687242,0.106372454314131,1.44536453548079
-0.85,-1.5,0.818777763018482,1.06142133101965,-0.458368370651334,-0.634393950146408,-1.35127856269275,0.607711660404817,-0.216184807137622,-1.79672059369612
-0.8,-1.5,0.946021068232938,0.791366295158443,-0.766089393542081,0.0334179026809081,-0.545019198466716,0.14093904374295,0.120771119357559,-0.197051909570741
-0.75,-1.5,-1.37070422190572,-0.673339279961915,0.256999093815075,-0.346043444859634,0.126291824602623,-2.56411812743516,-0.78130724382167,-0.309649609145789
-0.7,-1.5,-0.0413647763234135,-0.0277403048172287,-1.22485975047247,-0.195471240753547,0.739059359653251,1.16279354338044,-0.497654939157181,1.05292753198507
-0.65,-1.5,-0.298792592600398,-0.0852311299940498,-1.921340357252,-0.779987995961404,-0.201180400116707,0.0967714316031957,-0.533169639361262,-0.805796614330941
-0.6,-1.5,0.125006513248092,0.266293866835298,-1.13262395845391,-1.33962921031837,0.655711093338739,0.722640918551728,-0.83696345705867,2.05560745950989
-0.55,-1.5,0.947229020841978,0.540104848670501,-0.296854888845076,-1.81070797438882,0.513061933935126,0.0857314384995305,0.554873863847768,0.0312267110966031
-0.5,-1.5,0.594275859012534,-1.52949649227311,1.18720399118892,-0.32805851323129,0.997345750068028,-0.74690238092817,-0.499823353471713,0.650658623411581
-0.45,-1.5,-0.27600930748292,-1.44278041305499,-0.419787994015015,-0.158318836075729,-0.631462009348858,-1.5477860295057,-0.492496318153588,-0.637280674509155
-0.4,-1.5,-0.047390956679319,-0.303086963130133,-2.84441094525386,0.199735854694838,-0.0486674338653483,-0.444851749148368,-0.00175525223892713,-1.69984697912119
-0.35,-1.5,-0.420048404916933,0.456308288687567,-1.87302733857704,-0.352855851428271,-0.513959165133397,0.20081705180967,0.711564350290091,-0.316222988807977
-0.3,-1.5,0.843989981000589,1.0551163470714,-0.0523681725144222,2.31398666601956,-1.98084869460076,-1.25526109622435,-1.99440881323241,-1.04094039907811
-0.25,-1.5,1.59093424716737,-0.642994182953981,0.373594344595344,-0.557077675587207,0.695692544185744,-1.20824427559182,-0.948599661326073,0.476785505478139
-0.2,-1.5,-2.18394797629475,-1.51209439686816,-1.23882073112139,-1.15679221803751,0.654741631472637,-0.0157334204642885,-0.876823119229951,0.0275230014387784
-0.15,-1.5,0.676966617639134,0.292683550407763,-1.13654573233267,1.21387477740399,-0.813089538264868,-0.54866568174651,-0.0563390699316275,-0.102081689348824
-0.0999999999999999,-1.5,1.75624195958253,-0.323497277121043,-0.270080952685579,-1.03780279919612,1.64469286511209,1.77148306715444,0.458747383251398,0.635940910308363
-0.0499999999999998,-1.5,0.495344632435205,-1.58773666382231,0.565706945883061,-0.8550101155653,-0.716120621892459,0.760311020370261,0.186810770472379,-0.75791101355141
0,-1.5,-1.39371115029651,-0.299094456631718,0.905188763825205,-0.00883749314472274,0.811732143540023,-0.222046423492086,-1.83028234022642,-0.437160352818318
0.05,-1.5,-0.364247623659889,0.623465776577986,-1.01087069494274,0.523581843410862,-0.59898840487854,0.48003311637896,0.0668398188557979,0.139808196963001
0.1,-1.5,0.0123785279739767,0.729847725396,1.08490693508107,-1.39171499972433,-0.75957711830995,0.374994738992976,-0.513574066334714,-0.13036918106104
0.15,-1.5,0.122163370640213,-1.25140481564828,-1.66289565156831,-1.94343086814726,0.285531793533378,-0.804251481578142,1.66213788004705,-0.740637188128731
0.2,-1.5,0.351013754203903,0.688187239355454,-0.0753835607122134,-0.491742264061681,-0.558115055130498,0.385156732591633,-0.557048144231447,0.889618282033323
0.25,-1.5,0.416101848295067,-0.670271886931125,0.284372022756361,0.577086348252869,1.09261998553152,-0.480984753815618,1.47855206123085,-1.06673573538188
0.3,-1.5,-0.581585218546071,-1.48100092205665,-0.512073260437246,-0.502216636152396,-2.2649101631192,-0.426779146204551,-0.149191505089683,-0.73001019409275
0.35,-1.5,-0.23436356264874,-0.607001304302429,0.793075922520441,0.47468191596839,0.476084124392278,0.40492848884976,-1.80278527805692,-0.218864574933207
0.4,-1.5,1.12533267908657,1.47854267034927,-2.10995796971986,-0.261723960962171,-1.85986395944458,0.831417011232433,1.62900185773307,-0.475310257425522
